id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
500,灰瓣足鹬,灰瓣足鷸,Phalaropus fulicarius,species,NA,名錄對照_大肚溪.xlsx(20170962),B0236,252,nonbreeding
501,赤喉鹨,赤喉鷚,Anthus cervinus,species,NA,名錄對照_大肚溪.xlsx(20170963),B0462,690,nonbreeding
502,小水鹨,黃腹鷚,Anthus rubescens,species,species split,名錄對照_大肚溪.xlsx(20170964),B0466,692,nonbreeding
503,花鳬,花鳧,Tadorna tadorna,species,NA,名錄對照_大肚溪.xlsx(20170965),B0107,14,nonbreeding
504,澤鵟,東方澤鵟,Circus spilonotus,species,NA,名錄對照_大肚溪.xlsx(20170966),B0122,145,nonbreeding
505,大花鹨,大花鷚,Anthus richardi,species,NA,名錄對照_大肚溪.xlsx(20170967),B0465,683,nonbreeding
506,大黑脊鷗,灰背鷗,Larus schistisagus,species,NA,名錄對照_大肚溪.xlsx(20170968),B0250,285,nonbreeding
507,大葦鶯,東方大葦鶯,Acrocephalus orientalis,species,NA,名錄對照_大肚溪.xlsx(20170969),B0422,532,nonbreeding
508,綠長尾鸚鵡,鸚鵡科,Psittacidae sp.,family,NA,名錄對照_大肚溪.xlsx(20170970),NA,755,introduced
509,赤頸鳧(鴨),赤頸鴨,Mareca penelope,species,NA,名錄對照_大肚溪.xlsx(20170971),B0075,19,nonbreeding
510,姥鷸,大濱鷸,Calidris tenuirostris,species,NA,名錄對照_大肚溪.xlsx(20170972),B0198,225,nonbreeding
511,漂鷸,紅腹濱鷸,Calidris canutus,species,NA,名錄對照_大肚溪.xlsx(20170973),B0192,226,nonbreeding
512,沼鷺(池鷺),池鷺,Ardeola bacchus,species,NA,名錄對照_大肚溪.xlsx(20170974),B0040,117,nonbreeding
513,半蹼鷸,半蹼鷸,Limnodromus semipalmatus,species,NA,名錄對照_大肚溪.xlsx(20170975),B0206,243,nonbreeding
514,冠水雞,紅冠水雞,Gallinula chloropus,species,NA,名錄對照_大肚溪.xlsx(20170976),B0162,175,breed
515,野鸲,野鴝,Calliope calliope,species,NA,名錄對照_大肚溪.xlsx(20170977),B0393,605,nonbreeding
516,董雞,董雞,Gallicrex cinerea,species,NA,名錄對照_大肚溪.xlsx(20170978),B0161,173,breed
517,灰領瓣足鹬,灰瓣足鷸,Phalaropus fulicarius,species,NA,名錄對照_大肚溪.xlsx(20170979),B0236,252,nonbreeding
518,秧雞,東亞秧雞,Rallus indicus,species,NA,名錄對照_大肚溪.xlsx(20170980),B0168,165,nonbreeding
519,埃及聖鹮(神聖朱鷺、埃及朱鷺),埃及聖䴉,Threskiornis aethiopicus,species,NA,名錄對照_大肚溪.xlsx(20170982),B0066,126,introduced
520,白頭錦鸲,黃頭扇尾鶯,Cisticola exilis,species,NA,名錄對照_大肚溪.xlsx(20170983),B0429,543,breed
521,鷗嘴燕鷗,鷗嘴燕鷗,Gelochelidon nilotica,species,NA,名錄對照_大肚溪.xlsx(20170984),B0259,293,nonbreeding
522,"磯鷸

黃足鷸",鷸科,Scolopacidae,family,NA,名錄對照_大肚溪.xlsx(20170985),NA,205,NA
523,黑頭(栗腹)文鳥,黑頭文鳥,Lonchura atricapilla,species,NA,名錄對照_大肚溪.xlsx(20170986),B0501,744,breed
524,朱頂雀,普通朱頂雀,Acanthis flammea,species,NA,名錄對照_大肚溪.xlsx(20170987),B0521,729,nonbreeding
525,小辫鴴,小辮鴴,Vanellus vanellus,species,NA,名錄對照_大肚溪.xlsx(20170988),B0188,192,nonbreeding
526,翠鳥(魚狗),翠鳥,Alcedo atthis,species,NA,名錄對照_大肚溪.xlsx(20170990),B0307,362,breed
527,埃及白環,埃及聖䴉,Threskiornis aethiopicus,species,NA,名錄對照_大肚溪.xlsx(20170991),B0066,126,introduced
528,東方鴴,東方環頸鴴,Charadrius alexandrinus,species,NA,名錄對照_大肚溪.xlsx(20170992),B0178,196,breed
